item_id,category,brand,percent,first_time,text_info,days_left,img_url
3545,Еда и продукты,Лента Онлайн,20,1,"Кэшбек 20%

Лента Онлайн — сервис доставки продуктов из гипермаркета: овощи, фрукты, мясо, птица, рыба, товары для дома, сада, бытовая химия и многое другое.",100,pics/lenta_online.ru
134,Еда и продукты,Кухня на районе,20,1,"Кэшбек 20%

Кухня на районе — сервис доставки еды от 15 минут. Можно заказать горячую еду, холодные блюда и продукты в мини-маркете.",100,pics/local_kitchen.png
28375,Еда и продукты,Nutella,10,1,"Nutella - ореховая паста с какао и снеки с Nutella.

Кэшбек 10%

Чтобы получить бонусы, после покупки добавьте чек в приложение Тинькофф: нажмите на транзакцию и отсканируйте QR-код с чека.
Условия:
Акция действует на все товары Nutella во всех офлайн- и онлайн-магазинах, кроме маркетплейсов «Мегамаркет», «Яндекс Маркет», Ozon, Wildberries.
Максимум за всё время акции — 500 бонусов.
Бонусы рассчитываются в течение 10 дней после покупки.",100,pics/nutella.png
